"filename", "language", "C++", "XML", "comment", "blank", "total"
"/home/lliwkunl/Documents/Air-Compass/rsc/airplane.svg", "XML", 0, 62, 1, 1, 64
"/home/lliwkunl/Documents/Air-Compass/src/gamewindow.cpp", "C++", 31, 0, 1, -1, 31
"/home/lliwkunl/Documents/Air-Compass/src/gamewindow.h", "C++", -70, 0, 6, 5, -59
"/home/lliwkunl/Documents/Air-Compass/src/graph.cpp", "C++", 13, 0, 0, 1, 14
"/home/lliwkunl/Documents/Air-Compass/src/graph.h", "C++", 5, 0, 0, 1, 6
"/home/lliwkunl/Documents/Air-Compass/src/main.cpp", "C++", -1, 0, 3, 1, 3
"/home/lliwkunl/Documents/Air-Compass/src/ressource.cpp", "C++", 88, 0, 0, 13, 101
"/home/lliwkunl/Documents/Air-Compass/src/simulation.cpp", "C++", 48, 0, 3, 6, 57
"/home/lliwkunl/Documents/Air-Compass/src/simulation.h", "C++", 43, 0, 2, 7, 52
"/home/lliwkunl/Documents/Air-Compass/src/utils.h", "C++", 24, 0, 0, 3, 27
"Total", "-", 181, 62, 16, 37, 296
